file,line_number,encoded_length,tagged_length,encoded_line,tagged_line
AskForStartUpInTheInnovationCenter.csv,57,10,9,តើ មាន ធុរ/B-ORG កិច្ច/I-ORG អី នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អី/noun នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,77,11,10,តើ មាន ធុរ/B-ORG កិច្ច/I-ORG ណា ខ្លះ នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ធុរ/noun កិច្ច/noun ណា/noun ខ្លះ/adj នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,97,11,10,តើ មាន ធុរ/B-ORG កិច្ច/I-ORG អី ខ្លះ នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ធុរ/noun កិច្ច/noun អី/noun ខ្លះ/adj នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,117,9,7,តើ មាន ស្តាតអាប់/B-ORG អ្វី នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ស្តាតអាប់អ្វី/noun នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,137,11,10,តើ មាន ស្តាត/B-ORG អាប់/I-ORG អ្វី ខ្លះ នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ស្តាត/noun អាប់/verb អ្វី/noun ខ្លះ/adj នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,157,9,8,តើ មាន ស្តាត/B-ORG អាប់អី នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ស្តាត/noun អាប់អី/noun នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,177,10,9,តើ មាន ស្តាត/B-ORG អាប់ណា ខ្លះ នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ស្តាត/verb អាប់ណា/noun ខ្លះ/adj នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
AskForStartUpInTheInnovationCenter.csv,197,10,9,តើ មាន ស្តាត/B-ORG អាប់អី ខ្លះ នៅ នឹង អគារ/B-BUILD នវានុវត្តន៍/I-BUILD ?,តើ/prt មាន/verb ស្តាត/noun អាប់អី/noun ខ្លះ/adj នៅ/verb នឹង/adv អាគារនវានុវត្តន៍/noun ?/punct
IsCountryExist.csv,491,11,10,តើ មាន ប្រទេស បូស្នៀ/B-GPE និង/I-GPE ហឺហ្សេហ្គោវីណ ា/I-GPE ដែល ឬ អត់ ?,តើ/prt មាន/verb ប្រទេស/noun បូស្នៀ/noun និង/conj ហឺហ្សេហ្គោវីណា/noun ដែល/noun ឬ/conj អត់/prt ?/punct
Saywelcome.csv,3,3,2,good evening Robot,goodevening/noun Robot/noun
Saywelcome.csv,4,3,2,good evening រ៉ូបូត,goodevening/noun រ៉ូបូត/noun
Saywelcome.csv,5,3,2,good morning Robot,goodmorning/noun Robot/noun
Saywelcome.csv,6,3,2,good morning រ៉ូបូត,goodmorning/noun រ៉ូបូត/noun
Saywelcome.csv,8,2,1,hello រ៉ូបូត,helloរ៉ូបូត/noun
Saywelcome.csv,10,2,1,hi រ៉ូបូត,hiរ៉ូបូត/noun
Saywelcome.csv,11,3,1,Robot good afternoon,Robotgoodafternoon/noun
Saywelcome.csv,12,3,1,Robot good evening,Robotgoodevening/noun
Saywelcome.csv,13,3,1,Robot good morning,Robotgoodmorning/noun
Saywelcome.csv,14,2,1,Robot hello,Robothello/noun
Saywelcome.csv,15,2,1,Robot hi,Robothi/noun
Saywelcome.csv,18,2,1,Robot ហាយ,Robotហាយ/noun
Saywelcome.csv,19,2,1,Robot ហេឡូ,Robotហេឡូ/noun
Saywelcome.csv,23,3,1,រ៉ូបូត good afternoon,រ៉ូបូតgoodafternoon/noun
Saywelcome.csv,24,3,2,រ៉ូបូត good evening,រ៉ូបូត/noun goodevening/noun
Saywelcome.csv,25,3,1,រ៉ូបូត good morning,រ៉ូបូតgoodmorning/noun
Saywelcome.csv,26,2,1,រ៉ូបូត hello,រ៉ូបូតhello/noun
Saywelcome.csv,27,2,1,រ៉ូបូត hi,រ៉ូបូតhi/noun
Saywelcome.csv,30,2,1,រ៉ូបូត ហាយ,រ៉ូបូតហាយ/noun
Saywelcome.csv,31,2,1,រ៉ូបូត ហេឡូ,រ៉ូបូតហេឡូ/noun
Saywelcome.csv,32,3,4,រ៉ូបូត អរុណ សួស្ដី,រ៉ូបូត/noun អ/noun រុណ/noun សួស្ដី/noun
Saywelcome.csv,36,2,1,ហាយ រ៉ូបូត,ហាយរ៉ូបូត/noun
