question,intent, intent
តើ ទី តាំង ធ្វើ ការ របស់ បង សុភាព/B-PER នៅ អាគារ មួយ ណា ដែល ?,AskAboutStaffRoom,
តើ នៅ វិទ្យា/B-ORG ស្ថាន/I-ORG ស្រាវជ្រាវ/I-ORG អភិវឌ្ឍន៍/I-ORG កម្ពុជា/I-ORG មាន កន្លែង អង្គុយ ហូបបាយ ទេ ? , Ask About Canteen,
តើ មាន ព័ត៌មាន សម្រាប់ សិស្ស ថ្មី អ្វី នេះ ?,AskAboutTrendingNews,
រ៉ូបូត តើ នៅ អគារ/B-BUILD Innovation/I-BUILD Center/I-BUILD កន្លែង ជុះ នៅ ឯ ណា?,FindToilet,
តើ វិទ្យា/B-ORG ស្ថាន/I-ORG ពហុ/I-ORG បច្ចេកទេស/I-ORG ព្រះ/I-ORG កុសុមៈ/I-ORG មាន កន្លែង លកបាយ ដែល ឫ ទេ ? , Ask About Canteen,
តើ លេខ ទំនាក់ទំនង របស់ លោក គ្រូចាន់តូ/B-PER លេខ ប៉ុន្មាន ខ្លះ ?,AskAboutStaffPhoneNumber,
តើ មាន កម្ម វិធី រៀន អ្វី ខ្លះ នៅ ខាង ជំនាញ/B-MAJOR computerscience/I-MAJOR ?,CuriculumInEachMajor,
តើ អាច មាន ប្រទេស បួគី/B-GPE ណាហ្វាសូ/I-GPE ឬ ទេ ?,IsCountryExist,
តើ មាន ធុរ កិច្ច Cam/B-ORG Mob/I-ORG នៅ ខាង ក្នុង ទី នេះ ដែល ទេ ?,, IsStart UpExist
តើ Information/B-MAJOR Technology/I-MAJOR មាន រៀន ម៉េច ខ្លះ ?,CuriculumInEachMajor,
តើ មាន ហេតុ ការណ៍ សម្រាប់ សិស្ស ថ្មី អ្វី ខ្លះ នៅ នេះ ?,AskAboutTrendingNews,
តើ ទី តាំង បន្ទប់ របស់ ផ្នែក បម្រើ សេវា កម្ម នៅ អាគារ មួយ ណា ដែល ?,AskAboutStaffRoom,
មាន បង្គន់ បត់ ជើង អត់ នៅ នឹង ?,DoesToiletExist,
តើ មាន ហេតុ ការណ៍ សម្រាប់ អ្នក មក មើល អ្វី ខ្លះ វិទ្យា ស្ថាន បច្ចេកវិទ្យា ឌីជីថល ?,AskAboutTrendingNews,
តើ មាន រៀន ដូច មេ្តច ខ្លះ នៅ ខាង ជំនាញ/B-MAJOR Network/I-MAJOR ?,CuriculumInEachMajor,
រ៉ូបូត មេត្តា ប្រាប់ ខ្ញុំ មក អ្នក បង្រៀន ការ អភិវឌ្ឍន៍ គេហទំព័រ មាន ឈ្មោះ អ្វី ?,FindLecturerForSubject,
តើ មាន ព័ត៌មាន សម្រាប់ បុគ្គលិក ថ្មី អ្វី នៅ ទី នេះ ?,AskAboutTrendingNews,
តើ វិទ្យា/B-ORG ស្ថាន/I-ORG បច្ចេកវិទ្យា/I-ORG ឌីជីថល/I-ORG មាន កន្លែង សម្រាប់ ហូបបាយ ទេ ? , Ask About Canteen,
តើ Makerspace ត្រូវ បាន ផលិត ដោយ IDG/B-ORG មែន ទេ ? , Ask About Makerspace,
តើ ខ្ញុំ អាច សុំ លេខ ទំនាក់ទំនង របស់ បុគ្គលិក ផ្នែក អេហ្វ អ បន្តិច បាន ដែល ឬ ទេ ?,AskAboutStaffPhoneNumber,
សុំ សួរ មួយ Robotតើ នៅ ជាន់/B-FLOOR ផ្ទាល់/I-FLOOR ដី/I-FLOOR មាន កន្លែង ដោះ ទុក សត្វ ទេ ?,DoesToiletExist,
Robot ជួយ ប្រាប់ បន្តិច បាន ទេ ថា អ្នក ត្រូវ បាន បង្កើត ដោយ បង សិទ្ធ/B-PER ពិត ឬ អត់ ? , Ask About Creator,
តើ មាន កម្ម វិធី រៀន អី ខ្លះ នៅ ក្នុង ជំនាញ/B-MAJOR បណ្តាញ/I-MAJOR ?,CuriculumInEachMajor,
តើ មាន កម្ម វិធី សិក្សា ស្អី គេ ខ្លះ នៅ ក្នុង ជំនាញ/B-MAJOR Networking/I-MAJOR ?,CuriculumInEachMajor,
តើ ពិត ជា មាន ប្រទេស បូលីវី/B-GPE មែន ឬ ទេ ?,IsCountryExist,
តើ មាន រៀន ដូច មេ្តច ខ្លះ នៅ ខាង កុំព្យូទ័រ/B-MAJOR សាយអេន/I-MAJOR ?,CuriculumInEachMajor,
តើ យើង អាច រក បន្ទប់/B-ROOM ១០៥/I-ROOM តាម ណា បាន ?,FindRoom,
បង្ហាញ ខ្ញុំ CADT/B-ORG ស្រាវជ្រាវ លើ សម្រាប់ សិស្ស ថ្មី ? ,AskAboutResearch,
តើ អ្នក អាច ប្រាប់ ពី ទី តាំង របស់ បន្ទប់/B-ROOM ១០៥/I-ROOM នៅ កន្លែង ណា បាន ទេ ?,FindRoom,
តើ មាន រៀន ស្អីគេ ខ្លះ នៅ ខាង ជំនាញ/B-MAJOR អាយធី/I-MAJOR ?,CuriculumInEachMajor,
តើ IDRI/B-ORG ជំនាន់ នីមួយ ៗ មាន ប៉ុន្មាន ជំនាញ ? , Ask About Major,
តើ ពិត ជា មាន ប្រទេស ស៊ុយអែត/B-GPE ឬ អត់ ?,IsCountryExist,
តើ លេខ ទូរសព្ទ របស់ លោក នាយក លេខ ប៉ុន្មាន ខ្លះ ?,AskAboutStaffPhoneNumber,
តើ IDT/B-ORG មាន កន្លែង អង្គុយ ហូបបាយ ទេ ? , Ask About Canteen,
តើ មាន ក្រុម ហ៊ុន អ្វី ខ្លះ នៅ ខាង ក្នុង ទី នេះ ?,, Ask For Company In The Innovation Center
Robot ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា អ្នក ត្រូវ បាន បង្កើត ដោយ បង យ៉ា/B-PER មែន ឬ អត់ ? , Ask About Creator,
តើ ពិត ជា មាន ប្រទេស ហ្គាណា/B-GPE ដែល ឬ អត់ ?,IsCountryExist,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី កន្លែង របស់ បន្ទប់/B-ROOM ធី/I-ROOM អេសសុី/I-ROOM នៅ ឯ ណា?,FindRoom,
មាន បង្គន់ ទេ នៅ ជាន់/B-FLOOR លើ/I-FLOOR ?,DoesToiletExist,
សុំ សួរ មួយ រ៉ូបូត តើ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ១/I-FLOOR មាន កន្លែង បត់ ជើង ឬ ទេ ?,DoesToiletExist,
មនុស្ស យន្ត តើ នៅ អគារ/B-BUILD IDT/I-BUILD កន្លែង បត់ ជើង នៅ ទី ណា ?,FindToilet,
តើ មាន ស្តាត/B-ORG អាប់អី ខ្លះ ក្នុង នេះ ?,, Ask For Start Up In The Innovation Center
ឯណាកន្លែង ប្រជុំ ជាមួយ ស្ថាន/B-ORG ទូត/I-ORG អាមេរិក/I-ORG ?,FindMeetingRoom,
សុំ សួរ មួយ រ៉ូបូត តើ នៅ សាលា នឹង មាន បង្គន់ បត់ ជើង ឬ អត់ ?,DoesToiletExist,
តើ អាច មាន ប្រទេស បេលីស/B-GPE មែន ឬ ទេ ?,IsCountryExist,
តើ ពិត ជា មាន ប្រទេស ឡាវ/B-GPE ឬ អត់ ?,IsCountryExist,
តើ ប្រទេស ប៊ឺមូដា/B-GPE ជាន់ និង ប្រទេស ណា ខ្លះ ?,AskAboutCountries,
តើ បន្ទប់/B-ROOM ២០៦/I-ROOM នៅ កន្លែង ណា ?,FindRoom,
តើ មាន រឿង សម្រាប់ សិស្ស ថ្មី អ្វី ខ្លះ នៅ ទី នេះ ?,AskAboutTrendingNews,
តើ មាន កម្ម វិធី សិក្សា អ្វី ខ្លះ នៅ ក្នុង ជំនាញ/B-MAJOR Networking/I-MAJOR ?,CuriculumInEachMajor,
តើ អាច មាន ប្រទេស សាធារណរដ្ឋ/B-GPE ឆេក/I-GPE មែន ឬ ទេ ?,IsCountryExist,
តើ មាន ប្រទេស អេស្ប៉ាញ/B-GPE មែន ឬ ទេ ?,IsCountryExist,
តើcom puterscience មាន កម្ម វិធី រៀន ម៉េច ខ្លះ ?,CuriculumInEachMajor,
តើ រ៉ូបូត ឯង បង្កើត ដោយ បង ផានន្ទ/B-PER ពិត ប្រាកដ ឬ អត់ ? , Ask About Creator,
តើ រ៉ូបូត ឯង បង្កើត ដោយ លោក គ្រូសិទ្ធ/B-PER ពិត ឬ ទេ ? , Ask About Creator,
មាន កន្លែង នោម អត់ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR បង្អស់/I-FLOOR ?,DoesToiletExist,
តើ មាន កម្ម វិធី សិក្សា ដូច មេ្តច ខ្លះ នៅ ខាង ជំនាញ/B-MAJOR Networking/I-MAJOR ?,CuriculumInEachMajor,
តើ លេខ ទូរសព្ទ របស់ លោក គ្រូសិរី/B-PER លេខ ប៉ុន្មាន ខ្លះ ?,AskAboutStaffPhoneNumber,
តើ អាច មាន ប្រទេស កោះ/B-GPE ហ្វកលែន/I-GPE ឬ ទេ ?,IsCountryExist,
អ្នក មើល ការ នៅ បណ្តាញ នរណា ជា ?,AskAboutTopManagementPersonal,
មាន កន្លែង ដោះ ទុក សត្វ ឬ ទេ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ២/I-FLOOR ?,DoesToiletExist,
រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ ក្រុម បូរី/B-PER មែន ឫ ទេ ? , Ask About Creator,
តើ មាន ហេតុ ការណ៍ សម្រាប់ សិស្ស អត់ នៅ នេះ ?,AskAboutTrendingNews,
សុំ សួរ មួយ រ៉ូបូត តើ នៅ ជាន់ នេះ មាន កន្លែង ដោះ ទុក សត្វ ឬ អត់ ?,DoesToiletExist,
តើ បន្ទប់ របស់ លោក គ្រូ សិទ្ធ/B-PER នៅ កន្លែង ណា បាន ទេ ?,FindRoom,
តើ បង សុភាព/B-PER ធ្វើ ការ នៅ អាគារ មួយ ណា ដែល ?,AskAboutStaffRoom,
តើ អ្នក អាច ប្រាប់ ទី តាំង បន្ទប់/B-ROOM ធីអេសសុី/I-ROOM នៅ ទី ណា បាន ទេ ?,FindRoom,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី ទី តាំង បន្ទប់ របស់ លោក នាយក រង សុខា/B-PER នៅ កន្លែង ណា ?,FindRoom,
សុំ សួរ មួយ រ៉ូបូតតើ នៅ ជាន់/B-FLOOR លើ/I-FLOOR មាន កន្លែង បន្ទោរ បង់ ទេ ?,DoesToiletExist,
តើ មាន កម្ម វិធី សិក្សា ម៉េច ខ្លះ នៅ ខាង ជំនាញ/B-MAJOR ទូរគមនាគមន៍/I-MAJOR និង/I-MAJOR បណ្តាញ/I-MAJOR ?,CuriculumInEachMajor,
ប្រាប់ ខ្ញុំ នេះ ស្រាវជ្រាវ លើ សម្រាប់ សិស្ស ? ,AskAboutResearch,
រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ ក្រុម គីមហុង/B-PER មែន ឫ ទេ ? , Ask About Creator,
តើ អ្នក ពិត ជា ត្រូវ បាន បង្កើត ដោយ បង គីម/B-PER ហុង/I-PER ពិត ប្រាកដ ទេ ? , Ask About Creator,
នៅ ឯ សុី អេ ដីធី មាន Research អ្វី សម្រាប់ បុគ្គលិក ថ្មី ? ,AskAboutResearch,
តើ ពិត ជា មាន ប្រទេស លីចតេនស្ទីន/B-GPE មែន ឬ ទេ ?,IsCountryExist,
មនុស្ស យន្ត តើ នៅ អគារ/B-BUILD Innovation/I-BUILD Center/I-BUILD កន្លែង បត់ ជើង នៅ កន្លែង ណា ?,FindToilet,
តើ មាន កម្ម វិធី រៀន ស្អី ខ្លះហា នៅ ខាង ជំនាញ/B-MAJOR ពត៌មាន/I-MAJOR វិទ្យា/I-MAJOR ?,CuriculumInEachMajor,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី ទី តាំង បន្ទប់ របស់ លោក នាយក រង សុខា/B-PER នៅ ទី កន្លែង ណា ?,FindRoom,
តើ មាន រឿង ថ្មី អ្វី ខ្លះ នៅ ទី នេះ ?,AskAboutTrendingNews,
តើ មាន កម្ម វិធី សិក្សា ស្អី គេ ខ្លះ នៅ ក្នុង ជំនាញ/B-MAJOR ពត៌មាន/I-MAJOR វិទ្យា/I-MAJOR ?,CuriculumInEachMajor,
តើ មាន ហេតុ ការណ៍ សម្រាប់ សិស្ស ថ្មី អ្វី នេះ ?,AskAboutTrendingNews,
តើ មាន រៀន អី ខ្លះ នៅ ក្នុង ជំនាញ/B-MAJOR Telecoms/I-MAJOR and/I-MAJOR Networking/I-MAJOR ?,CuriculumInEachMajor,
តើ ទី តាំង ធ្វើ ការ របស់ ផ្នែក ស្រាវជ្រាវ នៅ អាគារ មួយ ណា ?,AskAboutStaffRoom,
រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ ក្រុម បង សុកហេង/B-PER ពិត ទេ ? , Ask About Creator,
តើ យើង អាច រក បន្ទប់/B-ROOM ២០២/I-ROOM តាម ណា បាន ?,FindRoom,
តើ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ១/I-FLOOR មាន refill ទឹក ទេ ?,AskAboutWaterRefill,
តើ អ្នក អាច ប្រាប់ ពី ទី តាំង របស់ បន្ទប់ របស់ លោក នាយក រង សុខា/B-PER នៅ ទី ណា បាន ទេ ?,FindRoom,
រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ ក្រុម យ៉ា/B-PER ពិត ប្រាកដ ឬ ទេ ? , Ask About Creator,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី បន្ទប់/B-ROOM ៣០៤/I-ROOM នៅ ទី ណា ?,FindRoom,
តើ ពិត ជា មាន ប្រទេស ហូឡង់/B-GPE ឬ អត់ ?,IsCountryExist,
តើ ពិត ជា មាន ប្រទេស អ៊ីតាលី/B-GPE ឬ អត់ ?,IsCountryExist,
តើ មាន រៀន ដូច មេ្តច ខ្លះ នៅ ខាង Information/B-MAJOR Technology/I-MAJOR ?,CuriculumInEachMajor,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី កន្លែង របស់ បន្ទប់ របស់ លោក គ្រូលីហៀក/B-PER នៅ កន្លែង ណា ?,FindRoom,
តើ មាន រៀន ស្អី ខ្លះ ហា នៅ ក្នុង ជំនាញ/B-MAJOR IT/I-MAJOR ?,CuriculumInEachMajor,
តើ Networking មាន កម្ម វិធី សិក្សា ស្អី ខ្លះហា ?,CuriculumInEachMajor,
តើ មាន ហេតុ ការណ៍ ថ្មី អត់ វិទ្យា ស្ថាន បច្ចេកវិទ្យា ឌីជីថល ?,AskAboutTrendingNews,
រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ ក្រុម បូរី/B-PER ពិត ទេ ? , Ask About Creator,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី ទី តាំង បន្ទប់ របស់ លោក គ្រូសុភាព/B-PER នៅ ឯ ណា?,FindRoom,
ប្រាប់ ទី នេះ Research លើ សម្រាប់ អ្នក មក មើល ? ,AskAboutResearch,
ប្រាប់ នៅ ទី នេះ Research លើ សម្រាប់ សិស្ស ថ្មី ? ,AskAboutResearch,
នៅ ឯ នេះ មាន Research អ្វី សម្រាប់ បុគ្គលិក ? ,AskAboutResearch,
តើ អាច មាន ប្រទេស ព័រតូរី កូ មែន ឬ អត់ ?,IsCountryExist,
តើ មាន ស្ថាប័ន ណា ខ្លះ នៅ នឹង អគារ នេះ ?,, Ask For Company In The Innovation Center
តើ ប្រទេស ម៉ូណាកូ/B-GPE មាន ទំហំ ដី ប៉ុន្មាន ?,AskAboutCountries,
មាន កន្លែង បន្ទោរ បង់ ឬ ទេ នៅ ជាន់/B-FLOOR ក្រោម/I-FLOOR ?,DoesToiletExist,
មាន កន្លែង នោម ទេ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR ?,DoesToiletExist,
តើ ប្រទេស អាហ្វហ្គានីស្ថាន/B-GPE មាន ប្រវែង ប៉ុន្មាន ?,AskAboutCountries,
តើ មាន រៀន អី ខ្លះ នៅ ខាង Telecomsand Networking ?,CuriculumInEachMajor,
តើ អ្នក ត្រូវ បាន បង្កើត ដោយ គីម/B-PER ហុង/I-PER មែន ឫ ទេ ? , Ask About Creator,
តើ នៅ វិទ្យា/B-ORG ស្ថាន/I-ORG ស៊ីតិក/I-ORG ជំនាញ នីមួយ ៗ បង្រៀន ប៉ុន្មាន ឆ្នាំ ? , Ask About Major,
តើ មាន ស្ថាប័ន អ្វី នៅ ក្នុង អគារ នេះ ?,, Ask For Company In The Innovation Center
តើ ប្រទេស ម៉ាកាវ/B-GPE មាន ឬ អត់ ?,IsCountryExist,
សុំ សួរ មួយ Robotតើ នៅ ជាន់/B-FLOOR ទី/I-FLOOR ២/I-FLOOR មាន កន្លែង ជុះ ទេ ?,DoesToiletExist,
តើ អាច មាន ប្រទេស ម៉ូរីតានី/B-GPE ឬ ទេ ?,IsCountryExist,
តើ មាន កម្ម វិធី សិក្សា ស្អី គេ ខ្លះ នៅ ខាង អុីហ្វមេសុិនតិចណូឡូជី/B-MAJOR ?,CuriculumInEachMajor,
បន្ទប់ ប្រជុំ ការណ៍ ព្រឹក/B-TIME នេះ/I-TIME នៅ កន្លែង ណា ?,FindMeetingRoom,
តើ អាច មាន ប្រទេស កាតា/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
តើ មាន រឿង សម្រាប់ បុគ្គលិក អ្វី នៅ ឯ NIPTICT/B-ORG ?,AskAboutTrendingNews,
តើ ប្រទេស លីប៊ី/B-GPE មាន មែន ឬ ទេ ?,IsCountryExist,
រ៉ូបូត ឯង សួរ គោ ឆ្លើយ ក្របី,Dissatisfied,
អ្នក ទទួល ខុស ត្រូវ ខាង Telecoms and Networking អ្នក ណា ជា ?,AskAboutTopManagementPersonal,
នៅ ជាន់/B-FLOOR ផ្ទាល់/I-FLOOR ដី/I-FLOOR បង្គន់ នៅ ឯ ណា ?,FindToilet,
ក្នុង នេះ មាន ស្រាវជ្រាវ អ្វី សម្រាប់ បុគ្គលិក ? ,AskAboutResearch,
តើ អ្នក អាច ប្រាប់ ទី តាំង បន្ទប់ របស់ លោក គ្រូសុធារ៉ា/B-PER នៅ ឯ ណា?,FindRoom,
តើ មាន កម្ម វិធី សិក្សា អ្វី ខ្លះ នៅ ខាង ជំនាញ/B-MAJOR Information/I-MAJOR Technology/I-MAJOR ?,CuriculumInEachMajor,
Robotតើ នៅ អគារ/B-BUILD Innovation/I-BUILD Center/I-BUILD បន្ទប់ ទឹក នៅ ឯ ណា?,FindToilet,
ប្រាប់ នៅ ណិពទិច ស្រាវជ្រាវ លើ សម្រាប់ អ្នក ទស្សនៈ កិច្ច ? ,AskAboutResearch,
តើ អាច មាន ប្រទេស ម៉ូរីស/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
បន្ទប់ ប្រជុំ ម៉ោង/B-TIME ១០/I-TIME នៅ ណា ?,FindMeetingRoom,
តើ មាន ហេតុ ការណ៍ សម្រាប់ បុគ្គលិក អ្វី ទី នេះ ?,AskAboutTrendingNews,
តើ លោក គ្រូសុធារ៉ា/B-PER ធ្វើ ការ នៅ ជាន់ ណា ដែល ?,AskAboutStaffRoom,
តើ អាច មាន ប្រទេស បូតស្វាណា/B-GPE ដែល ឬ ទេ ?,IsCountryExist,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី ទី តាំង បន្ទប់/B-ROOM ៣០៦/I-ROOM នៅ ទី ណា ?,FindRoom,
តើ អ្នក ត្រូវ បាន បង្កើត ដោយ សុកហេង/B-PER ពិត ប្រាកដ ឬ ទេ ? , Ask About Creator,
តើ មាន រៀន ស្អី ខ្លះ នៅ ក្នុង ជំនាញ e -commerce ពាណិជ្ជ កម្ម អេឡិចត្រូនិច ?,CuriculumInEachMajor,
Robotតើ នៅ អគារ/B-BUILD IDT/I-BUILD បង្គន់ នោម នៅ ឯ ណា ?,FindToilet,
តើ មាន ប្រទេស ជីប៊ូ/B-GPE ទី/I-GPE ដែល ឬ អត់ ?,IsCountryExist,
សុំ សួរ មួយ រ៉ូបូត តើ នៅ ជាន់/B-FLOOR ក្រោម/I-FLOOR មាន កន្លែង បន្ទោរ បង់ ទេ ?,DoesToiletExist,
តើ មាន ហេតុ ការណ៍ សម្រាប់ បុគ្គលិក ថ្មី អត់ នៅ នឹង ?,AskAboutTrendingNews,
ប្រាប់ ខ្ញុំ នៅ ណិពទិច ស្រាវជ្រាវ លើ សម្រាប់ ពួក យើង ? ,AskAboutResearch,
តើ អាច មាន ប្រទេស បារាំង/B-GPE ខាង លិច ឥណ្ឌ មែន ឬ អត់ ?,IsCountryExist,
តើ មាន ហេតុ ការណ៍ សម្រាប់ បុគ្គលិក ថ្មី អត់ នៅ ឯ CADT/B-ORG ?,AskAboutTrendingNews,
តើ អ្នក ត្រូវ បាន បង្កើត ដោយ បង សុក/B-PER ហេង/I-PER ពិត ប្រាកដ ទេ ? , Ask About Creator,
សុំ សួរ មួយ Robotតើ នៅ សាលា នឹង មាន បន្ទប់ ទឹក អត់ ?,DoesToiletExist,
តើ Information/B-MAJOR Technology/I-MAJOR មាន កម្ម វិធី រៀន ដូច មេ្តច ខ្លះ ?,CuriculumInEachMajor,
តើ នៅ ទី នេះ មាន អាយឌីធី/B-ORG ដែល ឫ ទេ ? , Is Institution Exist,
បង្ហាញ ខ្ញុំ នៅ សុី អេ ដីធី ស្រាវជ្រាវ លើ សម្រាប់ សិស្ស ថ្មី ? ,AskAboutResearch,
សុំ សួរ មួយ Robotតើ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR បង្អស់/I-FLOOR មាន កន្លែង ដោះ ទុក សត្វ ឬ ទេ ?,DoesToiletExist,
តើ មាន រៀន ស្អី ខ្លះហា នៅ ខាង Telecomsand Networking ?,CuriculumInEachMajor,
តើ មាន ស្តាត អាប់ Cam/B-ORG Mob/I-ORG នៅ ក្នុង អាគារ នេះ ដែល ទេ ?,, IsStart Up Exist
តើ អាច មាន ប្រទេស សហព័ន្ធ/B-GPE អារ៉ាប់/I-GPE រួម/I-GPE មែន ឬ ទេ ?,IsCountryExist,
តើ មាន រឿង សម្រាប់ បុគ្គលិក ថ្មី អ្វី វិទ្យា ស្ថាន បច្ចេកវិទ្យា ឌីជីថល ?,AskAboutTrendingNews,
តើ ខ្ញុំ អាច រក បន្ទប់/B-ROOM ៣០៤/I-ROOM ដោយ វីធីណា ?,FindRoom,
តើ មាន ស្ថាប័ន/B-ORG Book/I-ORG MeBus/I-ORG ក្នុង អាគារនវានុវត្តន៍ ដែរ ទេ ?,, Is Company Exist
តើ បន្ទប់ របស់ ផ្នែក អេហ្វអ មួយ ណា ?,AskAboutStaffRoom,
អ្នក មើល ការ ខុស ត្រូវ ក្នុង បណ្តាញ អ្នក ណា ជា ?,AskAboutTopManagementPersonal,
តើ នៅ វិទ្យា/B-ORG ស្ថាន/I-ORG ស៊ីតិក/I-ORG មាន កន្លែង លេង ដែល ទេ ? , Ask About Playground,
តើ ពត៌មាន/B-MAJOR វិទ្យា/I-MAJOR មាន រៀន ដូច មេ្តច ខ្លះ ?,CuriculumInEachMajor,
តើ មាន ប្រទេស ម៉ុងតេណេហ្គ្រោ/B-GPE ឬ ទេ ?,IsCountryExist,
តើ មាន ធុរ/B-ORG កិច្ច/I-ORG អ្វី ក្នុង កន្លែង នេះ ?,, Ask For Start Up In The Innovation Center
តើ អ្នក ពិត ជា ត្រូវ បាន បង្កើត ដោយ លោក គ្រូសិទ្ធ/B-PER មែន ឫ ទេ ? , Ask About Creator,
តើ ប្រទេស ជីប៊ូ/B-GPE ទី/I-GPE មាន ឬ អត់ ?,IsCountryExist,
ប្រាប់ នៅ ណិពទិច ស្រាវជ្រាវ លើ សម្រាប់ សិស្ស ថ្មី ? ,AskAboutResearch,
រ៉ូបូត ជួយ ប្រាប់ បន្តិច បាន ទេ ថា ឯង ត្រូវ បាន បង្កើត ដោយ ម៉ានុត/B-PER ពិត ប្រាកដ ទេ ? , Ask About Creator,
នៅ ណិពទិច មាន ស្រាវជ្រាវ អ្វី សម្រាប់ សិស្ស ថ្មី ? ,AskAboutResearch,
តើ មាន ប្រទេស អូស្ត្រាលី/B-GPE ដែល ឬ អត់ ?,IsCountryExist,
តើ អ្នក ត្រូវ បាន ចូល រួម បង្កើត ដោយ យ៉ា/B-PER មែន ទេ ? , Ask About Creator,
តើ ប្រទេស ហ្គាបុន/B-GPE ជាន់ និង ប្រទេស ណា ខ្លះ ?,AskAboutCountries,
រ៉ូបូត តើ នៅ អគារ/B-BUILD IDT/I-BUILD កន្លែង បន្ទោរ បង់ នៅ ទី ណា ?,FindToilet,
តើ បន្ទប់ របស់ បង ចាន់តូ/B-PER នៅ ទី ណាដែល ?,AskAboutStaffRoom,
Robotមេត្តា ប្រាប់ ខ្ញុំ មួយ មក ថា បន្ទប់ របស់ អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ណា ?,FindEmployeeRoom,
តើ យើង អាច រក បន្ទប់/B-ROOM ១០៦/I-ROOM ដោយ វីធីណា ?,FindRoom,
មនុស្ស យន្ត តើ នៅ អគារ/B-BUILD នេះ/I-BUILD បន្ទប់ ទឹក នៅ ណា ?,FindToilet,
បន្ទប់ ប្រជុំ ការណ៍ ម៉ោង/B-TIME ១០/I-TIME នៅ កន្លែង ណា ?,FindMeetingRoom,
សុំ សួរ មួយ រ៉ូបូតតើ នៅ ជាន់/B-FLOOR លើ/I-FLOOR គេ/I-FLOOR មាន កន្លែង ដោះ ទុក សត្វ ឬ អត់ ?,DoesToiletExist,
មនុស្ស យន្ត តើ នៅ អគារ/B-BUILD Innovation/I-BUILD Center/I-BUILD បន្ទប់ ទឹក នៅ ណា ?,FindToilet,
តើ មាន ប្រទេស អង់ហ្គោឡា/B-GPE ឬ ទេ ?,IsCountryExist,
អ្នក គ្រប់ គ្រង នៅ computerscience នរណា ជា ?,AskAboutTopManagementPersonal,
តើ កុំព្យូទ័រ/B-MAJOR សាយអេន/I-MAJOR មាន កម្ម វិធី សិក្សា ស្អី ខ្លះហា ?,CuriculumInEachMajor,
អ្នក មើល ការ ក្នុង ណេតវើក នរណា ជា ?,AskAboutTopManagementPersonal,
បង្ហាញ ខ្ញុំ ក្នុង នេះ ស្រាវជ្រាវ លើ សម្រាប់ បុគ្គលិក ថ្មី ? ,AskAboutResearch,
តើ ពិត ជា មាន ប្រទេស ហ្គាណា/B-GPE មែន ឬ អត់ ?,IsCountryExist,
តើ Robot ឯង បង្កើត ដោយ បង សុក/B-PER ហេង/I-PER ពិត ឬ ទេ ? , Ask About Creator,
តើ មាន រឿង ប្លែក ៗ អ្វី កន្លែង នឹង ?,AskAboutTrendingNews,
តើ អាច មាន ប្រទេស កាមេរូន/B-GPE ឬ អត់ ?,IsCountryExist,
តើ អ្នក អាច ប្រាប់ ខ្ញុំ ពី ទី តាំង បន្ទប់/B-ROOM ១០៣/I-ROOM នៅ ទី ណា ?,FindRoom,
សុំ សួរ មួយ រ៉ូបូត តើ នៅ ជាន់ នេះ មាន កន្លែង ជុះ នោម ឬ អត់ ?,DoesToiletExist,
តើ អ្នក ពិត ជា ត្រូវ បាន បង្កើត ដោយ យ៉ា/B-PER ពិត ប្រាកដ ឬ អត់ ? , Ask About Creator,
មាន កន្លែង ជុះ ឬ អត់ នៅ សាលា នឹង ?,DoesToiletExist,
